timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
6/17/2017 0:23:14,Apple,M1,Software Engineering Manager,372000,Sunnyvale, CA,7,5,NA,157000,180000,35000,NA,NA,7472,807,7,0,0,0,0,0,0,0,0,0,0,NA,NA
7/24/2017 12:21:07,Apple,L4,Software Engineer,50000,London, EN, United Kingdom,2,2,NA,0,0,0,NA,NA,12008,0,30,0,0,0,0,0,0,0,0,0,0,NA,NA
8/6/2017 22:23:02,Apple,Ict3,Software Engineer,200000,Cupertino, CA,3,2,NA,140000,40000,20000,NA,NA,7158,807,45,0,0,0,0,0,0,0,0,0,0,NA,NA
8/10/2017 18:05:43,Apple,ICT2,Software Engineer,120000,Cupertino, CA,5,2,NA,95000,80000,8000,NA,Tons of overtime,7158,807,52,0,0,0,0,0,0,0,0,0,0,NA,NA
8/18/2017 21:57:34,Apple,ICT3,Software Engineer,200000,Cupertino, CA,7,0,NA,0,0,0,NA,NA,7158,807,57,0,0,0,0,0,0,0,0,0,0,NA,NA
9/7/2017 15:55:34,Apple,ICT3,Software Engineer,150000,Cupertino, CA,3,3,NA,0,0,0,NA,NA,7158,807,80,0,0,0,0,0,0,0,0,0,0,NA,NA
9/11/2017 13:51:51,Apple,ICT3,Software Engineer,210000,Cupertino, CA,3,2,NA,130000,50000,30000,NA,NA,7158,807,98,0,0,0,0,0,0,0,0,0,0,NA,NA
10/6/2017 17:32:54,Apple,ICT5,Software Engineer,430000,Cupertino, CA,8,2,NA,0,0,0,NA,NA,7158,807,110,0,0,0,0,0,0,0,0,0,0,NA,NA
10/6/2017 17:34:48,Apple,ICT - 5,Software Engineer,560000,Cupertino, CA,8,5,NA,0,0,0,NA,NA,7158,807,111,0,0,0,0,0,0,0,0,0,0,NA,NA
10/15/2017 12:08:38,Apple,ICT4,Product Manager,305000,San Francisco, CA,7,1,NA,180000,60000,65000,NA,NA,7419,807,120,0,0,0,0,0,0,0,0,0,0,NA,NA
11/14/2017 5:57:57,Apple,M1,Software Engineering Manager,385000,San Francisco, CA,7,1,NA,215000,120000,50000,NA,NA,7419,807,145,0,0,0,0,0,0,0,0,0,0,NA,NA
1/13/2018 17:55:06,Apple,4,Software Engineer,350000,Cupertino, CA,5,2,NA,0,0,0,NA,NA,7158,807,223,0,0,0,0,0,0,0,0,0,0,NA,NA
1/13/2018 17:56:02,Apple,ICT5,Software Engineer,500000,Cupertino, CA,6,3,NA,0,0,0,NA,NA,7158,807,224,0,0,0,0,0,0,0,0,0,0,NA,NA
1/23/2018 19:34:28,Apple,ICT4,Software Engineer,290000,Cupertino, CA,14,3,NA,170000,90000,30000,NA,NA,7158,807,241,0,0,0,0,0,0,0,0,0,0,NA,NA
2/10/2018 13:23:48,Apple,ICT5,Software Engineer,560000,Sunnyvale, CA,10,5,NA,0,0,0,NA,NA,7472,807,294,0,0,0,0,0,0,0,0,0,0,NA,NA
3/3/2018 23:53:55,Apple,New Grad (ICT2),Software Engineer,190000,Sunnyvale, CA,0,0,NA,120000,50000,20000,NA,RSUs stack, leading to 200/220k per yr for year 3/4 respectively.,7472,807,354,0,0,0,0,0,0,0,0,0,0,NA,NA
3/6/2018 20:02:33,Apple,ICT4,Software Engineer,259000,Cupertino, CA,14,1,NA,179000,60000,20000,NA,NA,7158,807,364,0,0,0,0,0,0,0,0,0,0,NA,NA
3/21/2018 1:46:55,Apple,ICT3,Software Engineer,200000,Sunnyvale, CA,1,1,NA,140000,37000,20000,NA,NA,7472,807,407,0,0,0,0,0,0,0,0,0,0,NA,NA
3/26/2018 22:54:20,Apple,ICT2,Software Engineer,185000,Cupertino, CA,2,1.5,NA,120000,40000,25000,NA,NA,7158,807,419,0,0,0,0,0,0,0,0,0,0,NA,NA
4/16/2018 22:40:03,Apple,ICT2,Software Engineer,150000,Cupertino, CA,0,0,NA,0,0,0,NA,NA,7158,807,495,0,0,0,0,0,0,0,0,0,0,NA,NA
4/18/2018 8:58:59,Apple,ICT 3,Software Engineer,176000,Cupertino, CA,3,1,NA,126000,25000,20000,Female,NA,7158,807,501,0,0,0,0,0,0,0,0,0,0,NA,NA
4/20/2018 13:10:19,Apple,ICT4,Software Engineer,275000,Cupertino, CA,14,1,NA,180000,100000,25000,Male,NA,7158,807,512,0,0,0,0,0,0,0,0,0,0,NA,NA
4/30/2018 16:07:04,Apple,ICT 2,Software Engineer,200000,Cupertino, CA,2,0,NA,125000,50000,25000,Male,New grad, intern once at company,7158,807,560,0,0,0,0,0,0,0,0,0,0,NA,NA
5/11/2018 10:41:58,Apple,ICT4,Software Engineer,320000,San Francisco, CA,14,7,NA,0,0,0,Male,NA,7419,807,618,0,0,0,0,0,0,0,0,0,0,NA,NA
5/11/2018 22:42:55,Apple,ICT3,Software Engineer,205000,Cupertino, CA,8,4,NA,135000,60000,10000,Male,NA,7158,807,622,0,0,0,0,0,0,0,0,0,0,NA,NA
5/18/2018 0:53:36,Apple,ICT-4,Software Engineer,230000,Cupertino, CA,10,1,NA,155000,80000,15000,Male,NA,7158,807,669,0,0,0,0,0,0,0,0,0,0,NA,NA
5/25/2018 9:52:15,Apple,ICT3,Software Engineer,162000,Sunnyvale, CA,0,0,NA,117000,100000,15000,Male,NA,7472,807,729,0,0,0,0,0,0,0,0,0,0,NA,NA
5/30/2018 20:10:27,Apple,ICT2,Software Engineer,151000,Cupertino, CA,0,0,NA,125000,26250,0,Female,Bonuses are performance based,7158,807,755,0,0,0,0,0,0,0,0,0,0,NA,NA
6/5/2018 14:47:22,Apple,ICT4,Software Engineer,300000,San Francisco, CA,8,5,NA,0,0,0,NA,NA,7419,807,821,0,0,0,0,0,0,0,0,0,0,NA,NA
6/11/2018 16:00:16,Apple,ICT4,Software Engineer,271000,Cupertino, CA,12,3,Mobile (iOS + Android),168000,93000,10000,Male,NA,7158,807,881,0,0,0,0,0,0,0,0,0,0,NA,NA
6/12/2018 15:30:35,Apple,ICT2,Software Engineer,152500,Cupertino, CA,0,0,iOS,115000,17500,20000,NA,NA,7158,807,892,0,0,0,0,0,0,0,0,0,0,NA,NA
6/14/2018 18:55:06,Apple,ICT2,Software Engineer,185000,San Francisco, CA,0,0,iOS,115000,50000,20000,Male,NA,7419,807,917,0,0,0,0,0,0,0,0,0,0,NA,NA
6/17/2018 15:40:48,Apple,M2,Software Engineering Manager,495000,Cupertino, CA,10,10,iOS,220000,250000,25000,Male,Stock grant & bonus is yearly refresh, at time of grant (not including stock appreciation),7158,807,940,0,0,0,0,0,0,0,0,0,0,NA,NA
6/25/2018 16:44:45,Apple,ICT3,Software Engineer,255000,Cupertino, CA,3,3,Distributed Systems (Back-End),130000,100000,25000,Female,NA,7158,807,986,0,0,0,0,0,0,0,0,0,0,NA,NA
7/9/2018 21:28:42,Apple,Ic3,Software Engineer,200000,Cupertino, CA,10,0,iOS,0,0,0,NA,NA,7158,807,1085,0,0,0,0,0,0,0,0,0,0,NA,NA
7/14/2018 12:59:08,Apple,ICT4,Software Engineer,270000,Cupertino, CA,10,1,ML / AI,170000,80000,20000,Male,NA,7158,807,1120,0,0,0,0,0,0,0,0,0,0,NA,NA
7/15/2018 3:13:29,Apple,IC2,Software Engineer,205000,Cupertino, CA,0,0,API Development (Back-End),125000,70000,10000,Male,NA,7158,807,1125,0,0,0,0,0,0,0,0,0,0,NA,NA
7/18/2018 23:08:49,Apple,ICT4,Software Engineer,400000,Cupertino, CA,10,5,iOS,180000,0,16000,Female,NA,7158,807,1157,0,0,0,0,0,0,0,0,0,0,NA,NA
