timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
2/2/2018 17:36:01,Cisco,G6,Software Engineer,138000,San Jose, CA,4,4,NA,130000,0,8000,NA,NA,7422,807,267,0,0,0,0,0,0,0,0,0,0,NA,NA
3/7/2018 23:34:15,Cisco,Grade 11,Software Engineer,170000,San Jose, CA,9,1,NA,145000,0,30000,NA,Technical Lead - Hardware,7422,807,369,0,0,0,0,0,0,0,0,0,0,NA,NA
4/10/2018 22:08:26,Cisco,Senior,Software Engineer,180000,San Jose, CA,5,1,NA,140000,0,40000,NA,NA,7422,807,470,0,0,0,0,0,0,0,0,0,0,NA,NA
6/5/2018 13:21:08,Cisco,10,Software Engineer,165000,Waltham, MA,10,1,API Development (Back-End),131000,15000,20000,Male,NA,8893,506,810,0,0,0,0,0,0,0,0,0,0,NA,NA
6/5/2018 13:24:21,Cisco,Grade 10,Software Engineering Manager,132000,Philadelphia, PA,7,2,DevOps,115000,0,15000,Male,NA,10646,504,811,0,0,0,0,0,0,0,0,0,0,NA,NA
6/30/2018 23:31:12,Cisco,Grade 8,Software Engineer,120000,Vancouver, BC, Canada,5,1,API Development (Back-End),105000,5000,10000,Male,NA,1320,0,1030,0,0,0,0,0,0,0,0,0,0,NA,NA
7/15/2018 1:00:15,Cisco,10,Software Engineer,180000,San Jose, CA,13,6,API Development (Back-End),155000,10000,15000,Female,NA,7422,807,1124,0,0,0,0,0,0,0,0,0,0,NA,NA
7/15/2018 11:57:38,Cisco,Grade 6,Software Engineer,107000,San Jose, CA,1.5,1.5,API Development (Back-End),102000,0,5000,Male,Bonus money is the target assuming individual performance and company performance is as expected,7422,807,1129,0,0,0,0,0,0,0,0,0,0,NA,NA
7/22/2018 12:27:53,Cisco,Grade 12,Software Engineer,350000,San Jose, CA,12,12,Networking,200000,100000,50000,NA,NA,7422,807,1184,0,0,0,0,0,0,0,0,0,0,NA,NA
8/1/2018 17:04:47,Cisco,Grade 11,Product Manager,210000,San Jose, CA,10,7,Networking,160000,25000,25000,Male,NA,7422,807,1249,0,0,0,0,0,0,0,0,0,0,NA,NA
8/10/2018 0:13:52,Cisco,Technical Leader 2,Software Engineer,300000,San Jose, CA,12,3,Distributed Systems (Back-End),170000,80000,50000,NA,NA,7422,807,1342,0,0,0,0,0,0,0,0,0,0,NA,NA
8/10/2018 0:15:59,Cisco,Technical Leader 2,Solution Architect,300000,San Jose, CA,12,3,Distributed Systems (Back-End),170000,80000,50000,NA,NA,7422,807,1343,0,0,0,0,0,0,0,0,0,0,NA,NA
8/10/2018 12:13:16,Cisco,Software Engineer 2,Software Engineer,140000,San Jose, CA,4,4,Security,116000,16000,8000,NA,NA,7422,807,1352,0,0,0,0,0,0,0,0,0,0,NA,NA
8/14/2018 13:16:49,Cisco,Grade 11,Product Manager,220000,San Jose, CA,10,7,Networking,160000,35000,25000,NA,NA,7422,807,1403,0,0,0,0,0,0,0,0,0,0,NA,NA
8/15/2018 19:04:31,Cisco,Grade 10,Software Engineer,130000,Vancouver, BC, Canada,15,1,DevOps,115000,0,15000,NA,Salary indicated in Canadian dollars,1320,0,1464,0,0,0,0,0,0,0,0,0,0,NA,NA
8/18/2018 16:41:50,Cisco,Principal Engineer,Software Engineer,475000,San Jose, CA,15,15,Networking,0,0,0,NA,NA,7422,807,1548,0,0,0,0,0,0,0,0,0,0,NA,NA
8/20/2018 20:40:26,Cisco,Software Engineer III,Software Engineer,150000,Seattle, WA,3,3,Mobile (iOS + Android),120000,10000,20000,NA,NA,11527,819,1581,0,0,0,0,0,0,0,0,0,0,NA,NA
8/28/2018 16:11:54,Cisco,Grade 10,Software Engineer,328000,Seattle, WA,7,5,Distributed Systems (Back-End),164000,110000,54000,NA,NA,11527,819,1733,0,0,0,0,0,0,0,0,0,0,NA,NA
9/4/2018 12:52:03,Cisco,Grade 10,Software Engineer,140000,Austin, TX,7,2,Networking,110000,5000,165000,NA,NA,10965,635,1822,0,0,0,0,0,0,0,0,0,0,NA,NA
9/5/2018 22:49:19,Cisco,Software Engineer III,Software Engineer,108000,San Jose, CA,7,7,API Development (Back-End),108000,0,13000,NA,NA,7422,807,1854,0,0,0,0,0,0,0,0,0,0,NA,NA
9/6/2018 22:13:54,Cisco,Software Engineer 10,Software Engineer,250000,San Jose, CA,10,2,Distributed Systems (Back-End),160000,70000,23000,NA,NA,7422,807,1890,0,0,0,0,0,0,0,0,0,0,NA,NA
9/7/2018 4:43:39,Cisco,Senior,Product Manager,200000,San Francisco, CA,10,1,Full Stack,0,0,0,NA,NA,7419,807,1908,0,0,0,0,0,0,0,0,0,0,NA,NA
9/9/2018 12:01:48,Cisco,9,Software Engineer,180000,Durham, NC,13,1,DevOps,149000,15000,15000,NA,NA,9606,560,1974,0,0,0,0,0,0,0,0,0,0,NA,NA
9/13/2018 12:02:36,Cisco,Technical Leader 2,Software Engineer,331000,Portland, OR,13,4,Cloud Services,201000,80000,50000,NA,NA,10522,820,2041,0,0,0,0,0,0,0,0,0,0,NA,NA
9/15/2018 23:44:09,Cisco,Distinguished Engineer,Software Engineer,770000,San Jose, CA,20,20,Networking,240000,400000,130000,NA,NA,7422,807,2079,0,0,0,0,0,0,0,0,0,0,NA,NA
9/17/2018 13:16:32,Cisco,Grade 10,Software Engineer,238000,San Jose, CA,12,12,API Development (Back-End),172000,40000,25000,NA,NA,7422,807,2108,0,0,0,0,0,0,0,0,0,0,NA,NA
9/24/2018 22:41:36,Cisco,Technical Leader 2,Software Engineer,325000,San Jose, CA,15,3,Networking,175000,100000,60000,NA,NA,7422,807,2265,0,0,0,0,0,0,0,0,0,0,NA,NA
9/26/2018 7:17:07,Cisco,12,Software Engineer,365000,San Jose, CA,18,6,Distributed Systems (Back-End),215000,75000,75000,NA,NA,7422,807,2294,0,0,0,0,0,0,0,0,0,0,NA,NA
9/30/2018 17:23:29,Cisco,Technical Leader 1,Software Engineer,220000,San Jose, CA,12,4,Networking,175000,20000,25000,NA,NA,7422,807,2571,0,0,0,0,0,0,0,0,0,0,NA,NA
10/2/2018 21:42:32,Cisco,Software Engineer IV,Software Engineer,252000,San Jose, CA,6,3,Distributed Systems (Back-End),158000,70000,24000,NA,NA,7422,807,2632,0,0,0,0,0,0,0,0,0,0,NA,NA
10/3/2018 19:26:41,Cisco,Software Engineer IV,Software Engineer,200000,San Jose, CA,5,3,API Development (Back-End),135000,45000,20000,NA,NA,7422,807,2656,0,0,0,0,0,0,0,0,0,0,NA,NA
10/7/2018 14:33:14,Cisco,Software Engineer III,Software Engineer,147000,San Jose, CA,3,3,c++,0,0,0,NA,NA,7422,807,2743,0,0,0,0,0,0,0,0,0,0,NA,NA
10/10/2018 15:30:26,Cisco,Software Engineer III,Software Engineer,150000,San Jose, CA,8,2,iOS,130000,0,20000,NA,NA,7422,807,2832,0,0,0,0,0,0,0,0,0,0,NA,NA
10/15/2018 18:58:07,Cisco,Grade 8,Software Engineer,162000,Milpitas, CA,4,3,Networking,131000,0,31000,NA,NA,7304,807,2942,0,0,0,0,0,0,0,0,0,0,NA,NA
10/27/2018 15:55:06,Cisco,Technical Leader 2,Software Engineer,342000,Milpitas, CA,13,12,API Development (Back-End),179000,94000,69000,NA,NA,7304,807,3168,0,0,0,0,0,0,0,0,0,0,NA,NA
10/30/2018 17:03:42,Cisco,Software Engineer III,Software Engineer,132000,San Jose, CA,3,3,Testing (SDET),117000,6000,9000,NA,NA,7422,807,3213,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/2018 18:22:51,Cisco,Technical Leader 1,Software Engineer,182000,Morrisville, NC,12,9,Networking,125000,32000,25000,NA,NA,13672,560,3317,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/2018 18:59:50,Cisco,Software Engineer 1,Software Engineer,83000,Boston, MA,2,1,API Development (Back-End),75000,0,8000,NA,NA,8816,506,3338,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/2018 19:14:00,Cisco,Grade 11,Software Engineer,230000,San Jose, CA,10,2,API Development (Back-End),180000,20000,30000,NA,NA,7422,807,3349,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/2018 20:08:19,Cisco,Grade 6,Software Engineer,155000,San Jose, CA,4,4,Networking,122000,0,30000,NA,NA,7422,807,3379,0,0,0,0,0,0,0,0,0,0,NA,NA
11/1/2018 7:08:00,Cisco,Grade 10,Software Engineer,102000,Lille, NO, France,17,2,API Development (Back-End),91000,0,11000,NA,NA,6406,0,3528,0,0,0,0,0,0,0,0,0,0,NA,NA
11/1/2018 10:15:51,Cisco,Grade 10,Software Engineer,125000,Durham, NC,12,12,Networking,0,0,0,NA,NA,9606,560,3545,0,0,0,0,0,0,0,0,0,0,NA,NA
11/1/2018 22:09:13,Cisco,Grade 6,Software Engineer,18000,Bangalore, KA, India,7,2.5,Full Stack,0,0,0,NA,NA,4058,0,3591,0,0,0,0,0,0,0,0,0,0,NA,NA
11/2/2018 13:56:24,Cisco,Grade 12,Solution Architect,210000,Durham, NC,15,14,Networking,0,0,0,NA,NA,9606,560,3626,0,0,0,0,0,0,0,0,0,0,NA,NA
11/2/2018 23:01:51,Cisco,Software Engineer IV,Software Engineer,56000,Bangalore, KA, India,14,11,Full Stack,0,0,0,NA,NA,4058,0,3639,0,0,0,0,0,0,0,0,0,0,NA,NA
11/5/2018 8:52:15,Cisco,Grade 6,Software Engineer,130000,San Jose, CA,1,1,Networking,120000,0,10000,NA,NA,7422,807,3683,0,0,0,0,0,0,0,0,0,0,NA,NA
11/9/2018 15:29:21,Cisco,Technical Leader 2,Software Engineer,308000,San Jose, CA,20,13,Networking,193000,60000,55000,Male,NA,7422,807,3806,0,0,0,0,0,0,0,0,0,0,NA,NA
11/10/2018 16:10:43,Cisco,Grade 10,Software Engineer,200000,Milpitas, CA,5,3,Networking,0,0,0,NA,NA,7304,807,3836,0,0,0,0,0,0,0,0,0,0,NA,NA
11/12/2018 17:40:41,Cisco,Grade 11,Data Scientist,200000,Bellevue, WA,8,3,ML / AI,156000,30000,18000,Female,NA,11470,819,3869,0,0,0,0,0,0,0,0,0,0,NA,NA
11/17/2018 22:58:17,Cisco,Grade 10,Solution Architect,190000,San Jose, CA,7,3,Networking,150000,20000,20000,Female,NA,7422,807,3982,0,0,0,0,0,0,0,0,0,0,NA,NA
11/23/2018 2:06:33,Cisco,Software Engineer IV,Software Engineer,150000,Dallas, TX,5,1,Distributed Systems (Back-End),125000,15000,15000,Male,NA,11039,623,4053,0,0,0,0,0,0,0,0,0,0,NA,NA
11/24/2018 12:56:31,Cisco,Principal Engineer,Software Engineer,575000,San Jose, CA,20,2,Security,210000,250000,115000,Male,NA,7422,807,4065,0,0,0,0,0,0,0,0,0,0,NA,NA
11/27/2018 16:57:50,Cisco,Grade 12,Product Designer,300000,Boxborough, MA,15,14,Security,170000,80000,50000,Female,NA,21191,506,4115,0,0,0,0,0,0,0,0,0,0,NA,NA
12/6/2018 22:11:03,Cisco,Grade 8,Software Engineer,145000,Durham, NC,4,0,Distributed Systems (Back-End),124000,5000,15000,Male,NA,9606,560,4272,0,0,0,0,0,0,0,0,0,0,NA,NA
12/9/2018 19:53:45,Cisco,Software Engineer IV,Software Engineer,245000,San Jose, CA,6,6,Infrastructure,146000,59000,40000,Male,NA,7422,807,4338,0,0,0,0,0,0,0,0,0,0,NA,NA
12/12/2018 18:20:59,Cisco,Software Engineer 2,Software Engineer,102000,Durham, NC,0,0,API Development (Back-End),95000,0,7000,Male,NA,9606,560,4387,0,0,0,0,0,0,0,0,0,0,NA,NA
12/18/2018 14:01:38,Cisco,Grade 12,Software Engineer,300000,San Jose, CA,8,2,Networking,0,0,0,Male,NA,7422,807,4490,0,0,0,0,0,0,0,0,0,0,NA,NA
12/21/2018 0:15:12,Cisco,G12,Solution Architect,188000,Raleigh, NC,14,13,Networking,144000,12000,36000,Male,NA,1317,560,4558,0,0,0,0,0,0,0,0,0,0,NA,NA
