timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
7/20/2017 22:35:49,Facebook,E3,Software Engineer,168000,Menlo Park, CA,1,1,NA,0,0,0,NA,NA,7300,807,27,0,0,0,0,0,0,0,0,0,0,NA,NA
9/4/2017 14:17:07,Facebook,E4,Software Engineer,190000,Menlo Park, CA,1,1,NA,140000,150000,14000,NA,NA,7300,807,77,0,0,0,0,0,0,0,0,0,0,NA,NA
10/19/2017 1:31:35,Facebook,E6,Software Engineer,600000,Menlo Park, CA,10,1,NA,215000,1000000,40000,NA,NA,7300,807,124,0,0,0,0,0,0,0,0,0,0,NA,NA
10/22/2017 11:42:47,Facebook,E5,Software Engineer,690000,Seattle, WA,11.5,4,NA,200000,450000,40000,NA,NA,11527,819,129,0,0,0,0,0,0,0,0,0,0,NA,NA
1/11/2018 0:00:41,Facebook,E6,Software Engineer,220000,London, EN, United Kingdom,20,1,NA,0,0,0,NA,NA,12008,0,218,0,0,0,0,0,0,0,0,0,0,NA,NA
1/23/2018 10:51:12,Facebook,E5,Software Engineer,360000,Menlo Park, CA,2.5,2.5,NA,175000,160000,30000,NA,NA,7300,807,237,0,0,0,0,0,0,0,0,0,0,NA,NA
1/24/2018 23:12:53,Facebook,5,Software Engineer,450000,Menlo Park, CA,7,3,NA,190000,260000,30000,NA,NA,7300,807,244,0,0,0,0,0,0,0,0,0,0,NA,NA
2/15/2018 18:02:46,Facebook,E3,Software Engineer,155000,Menlo Park, CA,0,0,NA,107000,38000,11000,NA,NA,7300,807,313,0,0,0,0,0,0,0,0,0,0,NA,NA
2/15/2018 23:23:19,Facebook,E5,Software Engineer,430000,Menlo Park, CA,6,1,NA,0,0,0,NA,NA,7300,807,314,0,0,0,0,0,0,0,0,0,0,NA,NA
2/20/2018 10:58:38,Facebook,E3,Software Engineer,200000,Menlo Park, CA,1,0,NA,0,0,0,NA,NA,7300,807,325,0,0,0,0,0,0,0,0,0,0,NA,NA
3/11/2018 12:23:20,Facebook,L6,Software Engineering Manager,460000,Dublin, DN, Ireland,19,1,NA,140000,290000,30000,NA,12k sign-on,4015,0,382,0,0,0,0,0,0,0,0,0,0,NA,NA
3/13/2018 6:28:53,Facebook,E4,Software Engineer,320000,San Francisco, CA,1,1,NA,0,0,0,NA,NA,7419,807,388,0,0,0,0,0,0,0,0,0,0,NA,NA
3/15/2018 22:07:48,Facebook,M1,Software Engineering Manager,520000,Seattle, WA,9,0,NA,210000,200000,42000,NA,NA,11527,819,395,0,0,0,0,0,0,0,0,0,0,NA,NA
4/3/2018 0:01:42,Facebook,6,Product Manager,720000,Menlo Park, CA,10,2,NA,0,0,0,NA,NA,7300,807,443,0,0,0,0,0,0,0,0,0,0,NA,NA
4/24/2018 1:02:37,Facebook,IC6,Software Engineer,535000,Menlo Park, CA,18,2,NA,215000,830000,50000,Male,NA,7300,807,527,0,0,0,0,0,0,0,0,0,0,NA,NA
