timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
8/7/2017 2:08:48,Google,L4,Software Engineer,300000,Mountain View, CA,8,4,NA,155000,112000,33000,NA,NA,7322,807,48,0,0,0,0,0,0,0,0,0,0,NA,NA
8/7/2017 11:19:56,Google,T6,Software Engineer,440000,New York, NY,14,12,NA,0,0,0,NA,NA,10182,501,49,0,0,0,0,0,0,0,0,0,0,NA,NA
10/25/2017 10:30:54,Google,L4,Software Engineer,275000,Mountain View, CA,4,0,NA,160000,91000,24000,NA,NA,7322,807,131,0,0,0,0,0,0,0,0,0,0,NA,NA
11/14/2017 20:39:43,Google,T3,Software Engineer,158000,Mountain View, CA,0,0,NA,116000,25000,17000,NA,NA,7322,807,146,0,0,0,0,0,0,0,0,0,0,NA,NA
11/16/2017 18:40:36,Google,L4,Software Engineer,273000,Sunnyvale, CA,1,1,NA,131000,112000,30000,NA,Bonus includes on call compensation, referral, and annual,7472,807,149,0,0,0,0,0,0,0,0,0,0,NA,NA
11/20/2017 14:46:22,Google,L4,Software Engineer,268000,Mountain View, CA,5,3.5,NA,142000,100000,26000,NA,NA,7322,807,155,0,0,0,0,0,0,0,0,0,0,NA,NA
12/15/2017 15:36:31,Google,T3,Software Engineer,166000,Mountain View, CA,0,0,NA,116000,32500,17500,NA,NA,7322,807,176,0,0,0,0,0,0,0,0,0,0,NA,NA
1/2/2018 23:26:40,Google,T2,Software Engineer,110000,New York, NY,0,0,NA,95000,0,5000,NA,10k relocation,10182,501,199,0,0,0,0,0,0,0,0,0,0,NA,NA
1/4/2018 12:14:04,Google,L3,Software Engineer,179000,Mountain View, CA,2,2,NA,125000,140000,25000,NA,NA,7322,807,206,0,0,0,0,0,0,0,0,0,0,NA,NA
1/12/2018 16:58:09,Google,T5,Software Engineer,354000,Sunnyvale, CA,16,3,NA,180000,139000,35000,NA,NA,7472,807,221,0,0,0,0,0,0,0,0,0,0,NA,NA
1/12/2018 21:05:54,Google,L7,Software Engineering Manager,640000,San Jose, CA,18,4,NA,250000,300000,90000,NA,NA,7422,807,222,0,0,0,0,0,0,0,0,0,0,NA,NA
