timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
2/16/2018 10:49:32,IBM,7,Software Engineer,84000,Austin, TX,3,3,NA,80000,100,4000,NA,NA,10965,635,316,0,0,0,0,0,0,0,0,0,0,NA,NA
2/19/2018 18:34:43,IBM,6,Software Engineer,108000,San Jose, CA,0,0,NA,100000,0,8000,NA,NA,7422,807,320,0,0,0,0,0,0,0,0,0,0,NA,NA
2/19/2018 18:35:25,IBM,7,Software Engineer,124000,San Jose, CA,1,1,NA,124000,0,0,NA,NA,7422,807,321,0,0,0,0,0,0,0,0,0,0,NA,NA
6/7/2018 16:48:58,IBM,Associate Offering Manager (Band 6),Product Manager,103000,Austin, TX,0,0,ML / AI,0,0,0,Male,NA,10965,635,842,0,0,0,0,0,0,0,0,0,0,NA,NA
6/8/2018 18:52:17,IBM,Band 6,Software Engineer,96000,New York, NY,1,1,Web Development (Front-End),96000,0,0,Male,NA,10182,501,856,0,0,0,0,0,0,0,0,0,0,NA,NA
6/16/2018 2:43:34,IBM,Band 6,Software Engineer,100000,San Jose, CA,1.5,1.5,ML / AI,100000,0,0,Male,NA,7422,807,931,0,0,0,0,0,0,0,0,0,0,NA,NA
6/21/2018 22:11:27,IBM,6,Software Engineer,83000,Austin, TX,3,3,Web Development (Front-End),82000,0,0,Male,NA,10965,635,970,0,0,0,0,0,0,0,0,0,0,NA,NA
6/25/2018 13:45:04,IBM,Band 8,Software Engineer,110000,Austin, TX,8,3,Web Development (Front-End),108000,0,2000,NA,NA,10965,635,985,0,0,0,0,0,0,0,0,0,0,NA,NA
7/5/2018 13:25:37,IBM,STSM,Software Engineer,225000,New York, NY,21,21,NA,210000,10000,5000,Male,NA,10182,501,1061,0,0,0,0,0,0,0,0,0,0,NA,NA
7/8/2018 22:14:26,IBM,8,Software Engineer,167000,San Jose, CA,10,1,Distributed Systems (Back-End),162000,0,5000,Male,NA,7422,807,1082,0,0,0,0,0,0,0,0,0,0,NA,NA
7/25/2018 12:32:36,IBM,Band 8,Software Engineer,125000,Austin, TX,6,3,Web Development (Front-End),125000,0,1000000,Male,.8 (80%) PMR Ratio,10965,635,1201,0,0,0,0,0,0,0,0,0,0,NA,NA
7/26/2018 10:12:26,IBM,7,Software Engineer,106000,Austin, TX,3,3,Web Development (Front-End),0,0,0,Male,NA,10965,635,1205,0,0,0,0,0,0,0,0,0,0,NA,NA
8/7/2018 13:15:56,IBM,8,Software Engineer,165000,San Jose, CA,4,3,Full Stack,0,0,0,NA,NA,7422,807,1290,0,0,0,0,0,0,0,0,0,0,NA,NA
8/9/2018 14:41:26,IBM,7,Software Engineer,80000,Costa Mesa, CA,3,3,Networking,0,0,0,NA,NA,7153,803,1330,0,0,0,0,0,0,0,0,0,0,NA,NA
8/11/2018 7:23:03,IBM,L7,Software Engineer,104000,New York, NY,3,3,API Development (Back-End),0,0,0,NA,NA,10182,501,1365,0,0,0,0,0,0,0,0,0,0,NA,NA
8/25/2018 1:58:22,IBM,8,Software Engineer,220000,San Jose, CA,10,1,Full Stack,205000,0,15000,NA,NA,7422,807,1676,0,0,0,0,0,0,0,0,0,0,NA,NA
8/29/2018 14:02:27,IBM,Band 7,Software Engineer,130000,New York, NY,2,4,Full Stack,130000,0,0,NA,NA,10182,501,1743,0,0,0,0,0,0,0,0,0,0,NA,NA
8/29/2018 14:04:37,IBM,Band 7,Software Engineer,130000,New York, NY,4,2,Full Stack,130000,0,0,NA,NA,10182,501,1744,0,0,0,0,0,0,0,0,0,0,NA,NA
9/1/2018 21:58:11,IBM,7,Software Engineer,141000,San Jose, CA,2,0,DevOps,130000,0,11000,NA,NA,7422,807,1795,0,0,0,0,0,0,0,0,0,0,NA,NA
9/6/2018 22:48:45,IBM,7,Software Engineer,100000,Tel Aviv, TA, Israel,3,4.5,Distributed Systems (Back-End),0,0,0,NA,NA,15900,0,1893,0,0,0,0,0,0,0,0,0,0,NA,NA
9/10/2018 9:13:54,IBM,3,Product Designer,90000,San Francisco, CA,2,1,ux,90000,0,0,NA,NA,7419,807,1987,0,0,0,0,0,0,0,0,0,0,NA,NA
9/16/2018 10:35:55,IBM,10,Solution Architect,295000,Boston, MA,25,25,Full Stack,195000,25000,75000,NA,NA,8816,506,2091,0,0,0,0,0,0,0,0,0,0,NA,NA
9/25/2018 8:50:37,IBM,7,Product Manager,140000,San Francisco, CA,5,1,ML / AI,0,0,0,NA,NA,7419,807,2269,0,0,0,0,0,0,0,0,0,0,NA,NA
9/26/2018 18:30:33,IBM,Senior,Product Designer,125000,Shanghai, SH, China,12,4.5,UX + Visual + Research,0,0,0,NA,NA,3581,0,2317,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 12:05:12,IBM,Associate Engineer,Software Engineer,76000,Austin, TX,2,2,API Development (Back-End),0,0,0,NA,NA,10965,635,2432,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 12:06:29,IBM,Staff Engineer,Software Engineer,101000,Austin, TX,3,3,Full Stack,0,0,0,NA,NA,10965,635,2433,0,0,0,0,0,0,0,0,0,0,NA,NA
9/30/2018 18:35:11,IBM,9,Software Engineer,140000,Raleigh, NC,20,20,Testing (SDET),135000,0,5000,NA,NA,1317,560,2575,0,0,0,0,0,0,0,0,0,0,NA,NA
10/9/2018 16:32:48,IBM,7,Software Engineer,125000,San Jose, CA,0,0,API Development (Back-End),0,0,0,NA,NA,7422,807,2808,0,0,0,0,0,0,0,0,0,0,NA,NA
10/11/2018 12:43:19,IBM,Mid,Product Designer,110000,Austin, TX,3,3,Desktop and Mobile,0,0,0,NA,NA,10965,635,2850,0,0,0,0,0,0,0,0,0,0,NA,NA
10/18/2018 11:49:27,IBM,Band 9,Product Manager,157000,Dallas, TX,14,14,Cloud,0,0,0,NA,NA,11039,623,3000,0,0,0,0,0,0,0,0,0,0,NA,NA
10/24/2018 13:27:58,IBM,6,Software Engineer,89000,Poughkeepsie, NY,2,2,Testing (SDET),0,0,0,NA,NA,10206,501,3110,0,0,0,0,0,0,0,0,0,0,NA,NA
10/27/2018 12:49:19,IBM,7,Data Scientist,137000,San Jose, CA,2,1,ML / AI,135000,0,2000,NA,NA,7422,807,3163,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/2018 18:09:57,IBM,8,Software Engineering Manager,22000,Islamabad, IS, Pakistan,10,8,Full Stack,20000,0,2000,NA,NA,6600,0,3306,0,0,0,0,0,0,0,0,0,0,NA,NA
10/31/2018 18:32:15,IBM,STSM,Software Engineer,250000,New York, NY,35,25,ML / AI,0,0,0,NA,NA,10182,501,3323,0,0,0,0,0,0,0,0,0,0,NA,NA
11/1/2018 4:51:05,IBM,8,Software Engineer,113000,Toronto, ON, Canada,6,3,Systems Software Development,113000,0,1000,NA,Salary in CAD!,1206,0,3512,0,0,0,0,0,0,0,0,0,0,NA,NA
11/1/2018 11:05:50,IBM,Staff Engineer,Software Engineer,103000,Markham, ON, Canada,5,5,Full Stack,101000,0,2000,NA,NA,3468,0,3550,0,0,0,0,0,0,0,0,0,0,NA,NA
11/2/2018 9:16:04,IBM,7,Software Engineer,102000,Austin, TX,5,3,API Development (Back-End),102000,0,0,NA,NA,10965,635,3609,0,0,0,0,0,0,0,0,0,0,NA,NA
11/9/2018 18:54:54,IBM,7,Product Designer,125000,San Francisco, CA,2,2,Web Development (Front-End),0,0,0,NA,NA,7419,807,3809,0,0,0,0,0,0,0,0,0,0,NA,NA
11/11/2018 17:32:47,IBM,9,Software Engineer,300000,Cambridge, MA,10,10,Full Stack,0,0,0,Male,NA,8821,506,3856,0,0,0,0,0,0,0,0,0,0,NA,NA
11/12/2018 12:48:07,IBM,Senior Engineer,Software Engineer,157000,Austin, TX,6,6,API Development (Back-End),157000,0,0,Male,NA,10965,635,3862,0,0,0,0,0,0,0,0,0,0,NA,NA
