timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
10/31/2017 23:05:38,Intel,G6,Software Engineering Manager,125000,Hillsboro, OR,7,6,NA,100000,10000,15000,NA,NA,10500,820,136,0,0,0,0,0,0,0,0,0,0,NA,NA
4/22/2018 14:57:29,Intel,Staff,Software Engineer,170000,Folsom, CA,7,6,NA,0,0,0,Male,NA,7193,862,518,0,0,0,0,0,0,0,0,0,0,NA,NA
4/30/2018 0:16:03,Intel,Staff (Grade 8),Software Engineer,161000,Hillsboro, OR,5,4,NA,130000,22000,19000,Male,Stock is based on annual performance, above is should be around mean for Gr 8,10500,820,558,0,0,0,0,0,0,0,0,0,0,NA,NA
5/4/2018 22:20:03,Intel,6,Software Engineer,120000,Santa Clara, CA,5,5,NA,0,0,0,Male,NA,7434,807,572,0,0,0,0,0,0,0,0,0,0,NA,NA
5/17/2018 17:10:33,Intel,Grade 7,Software Engineer,196000,Sunnyvale, CA,0,2.5,NA,153000,15000,28000,Male,NA,7472,807,665,0,0,0,0,0,0,0,0,0,0,NA,NA
5/20/2018 19:39:47,Intel,G6,Product Manager,126000,Santa Clara, CA,1,3,NA,0,0,0,Female,NA,7434,807,694,0,0,0,0,0,0,0,0,0,0,NA,NA
5/26/2018 13:09:30,Intel,G8,Software Engineer,220000,Santa Clara, CA,4,4,NA,170000,20000,30000,Male,NA,7434,807,735,0,0,0,0,0,0,0,0,0,0,NA,NA
6/5/2018 23:14:53,Intel,5,Software Engineer,128000,Santa Clara, CA,2,2,DevOps,105000,12000,11000,Female,NA,7434,807,830,0,0,0,0,0,0,0,0,0,0,NA,NA
7/1/2018 0:33:27,Intel,8,Software Engineer,180000,Berlin, BE, Germany,18,15,Networking,130000,20000,30000,Male,NA,3651,0,1031,0,0,0,0,0,0,0,0,0,0,NA,NA
7/13/2018 23:20:55,Intel,8,Software Engineering Manager,215000,Santa Clara, CA,13,13,NA,155000,30000,30000,Male,NA,7434,807,1116,0,0,0,0,0,0,0,0,0,0,NA,NA
7/26/2018 14:16:39,Intel,6,Software Engineer,120000,Chandler, AZ,7,7,Full Stack,100000,10000,10000,Male,NA,7012,753,1207,0,0,0,0,0,0,0,0,0,0,NA,NA
8/7/2018 21:45:30,Intel,G6,Software Engineer,155000,San Jose, CA,8,4,QA / Testing,115000,10000,30000,Male,NA,7422,807,1293,0,0,0,0,0,0,0,0,0,0,NA,NA
8/15/2018 10:03:26,Intel,Grade 3,Software Engineer,76000,Phoenix, AZ,4,4,Full Stack,76000,2000,4000,NA,NA,7042,753,1429,0,0,0,0,0,0,0,0,0,0,NA,NA
8/19/2018 10:52:21,Intel,Grade 8,Software Engineer,165000,Santa Clara, CA,20,20,Design Verification,130000,20000,15000,NA,NA,7434,807,1560,0,0,0,0,0,0,0,0,0,0,NA,NA
8/27/2018 21:14:57,Intel,8,Software Engineer,240000,Santa Clara, CA,11,5,System Programming,173000,12000,43000,NA,NA,7434,807,1722,0,0,0,0,0,0,0,0,0,0,NA,NA
8/31/2018 12:20:00,Intel,Grade 9,Software Engineering Manager,320000,Portland, OR,32,30,DevOps,170000,70000,80000,NA,NA,10522,820,1780,0,0,0,0,0,0,0,0,0,0,NA,NA
9/5/2018 4:09:02,Intel,Grade 7,Software Engineer,150000,Santa Clara, CA,3,3,Systems,132000,10000,13000,NA,NA,7434,807,1837,0,0,0,0,0,0,0,0,0,0,NA,NA
9/13/2018 23:56:34,Intel,Grade 10,Software Engineering Manager,320000,Portland, OR,18,7,Distributed Systems (Back-End),0,0,0,NA,NA,10522,820,2057,0,0,0,0,0,0,0,0,0,0,NA,NA
9/15/2018 23:45:48,Intel,Grade 7,Software Engineer,165000,Hillsboro, OR,14,4,Testing (SDET),121000,15000,10000,NA,NA,10500,820,2080,0,0,0,0,0,0,0,0,0,0,NA,NA
