timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
6/20/2017 10:58:51,Microsoft,60,Software Engineer,157000,Mountain View, CA,5,3,NA,0,0,0,NA,NA,7322,807,9,0,0,0,0,0,0,0,0,0,0,NA,NA
6/21/2017 17:27:47,Microsoft,63,Software Engineer,208000,Seattle, WA,8.5,8.5,NA,0,0,0,NA,NA,11527,819,11,0,0,0,0,0,0,0,0,0,0,NA,NA
6/22/2017 12:37:51,Microsoft,65,Software Engineering Manager,300000,Redmond, WA,15,11,NA,180000,65000,55000,NA,NA,11521,819,12,0,0,0,0,0,0,0,0,0,0,NA,NA
6/22/2017 13:55:26,Microsoft,62,Software Engineer,156000,Seattle, WA,4,4,NA,135000,8000,13000,NA,NA,11527,819,13,0,0,0,0,0,0,0,0,0,0,NA,NA
6/22/2017 23:08:16,Microsoft,59,Software Engineer,120000,Redmond, WA,3,1,NA,0,0,0,NA,NA,11521,819,15,0,0,0,0,0,0,0,0,0,0,NA,NA
6/26/2017 21:25:45,Microsoft,63,Software Engineer,201000,Seattle, WA,12,6,NA,157000,26000,28000,NA,NA,11527,819,16,0,0,0,0,0,0,0,0,0,0,NA,NA
7/2/2017 14:16:51,Microsoft,Sde 2,Software Engineer,155000,Bellevue, WA,5,3,NA,126000,0,0,NA,NA,11470,819,19,0,0,0,0,0,0,0,0,0,0,NA,NA
7/3/2017 19:28:09,Microsoft,63,Product Manager,150000,Redmond, WA,10,10,NA,0,0,0,NA,NA,11521,819,20,0,0,0,0,0,0,0,0,0,0,NA,NA
7/7/2017 22:29:34,Microsoft,63,Software Engineer,191000,Seattle, WA,7,7,NA,152000,17000,22000,NA,NA,11527,819,21,0,0,0,0,0,0,0,0,0,0,NA,NA
7/24/2017 23:14:39,Microsoft,64,Software Engineer,195000,Redmond, WA,9,9,NA,0,0,0,NA,NA,11521,819,31,0,0,0,0,0,0,0,0,0,0,NA,NA
7/29/2017 19:56:08,Microsoft,67,Software Engineering Manager,462000,Bellevue, WA,15,15,NA,240000,150000,72000,NA,NA,11470,819,37,0,0,0,0,0,0,0,0,0,0,NA,NA
8/1/2017 13:46:54,Microsoft,64,Software Engineering Manager,220000,Seattle, WA,17,6,NA,0,0,0,NA,NA,11527,819,41,0,0,0,0,0,0,0,0,0,0,NA,NA
8/4/2017 11:04:03,Microsoft,65,Product Manager,250000,Redmond, WA,14,1,NA,180000,25000,30000,NA,NA,11521,819,43,0,0,0,0,0,0,0,0,0,0,NA,NA
8/6/2017 22:26:38,Microsoft,63,Product Manager,190000,Seattle, WA,6,6,NA,150000,30000,17000,NA,NA,11527,819,46,0,0,0,0,0,0,0,0,0,0,NA,NA
8/17/2017 12:45:15,Microsoft,65,Software Engineer,342000,Redmond, WA,8,1,NA,202000,102000,38000,NA,NA,11521,819,55,0,0,0,0,0,0,0,0,0,0,NA,NA
8/22/2017 18:42:36,Microsoft,66,Product Manager,325000,Redmond, WA,20,9,NA,191000,90000,43000,NA,NA,11521,819,62,0,0,0,0,0,0,0,0,0,0,NA,NA
8/23/2017 16:49:36,Microsoft,69,Software Engineer,910000,Redmond, WA,28,17,NA,270000,500000,140000,NA,NA,11521,819,63,0,0,0,0,0,0,0,0,0,0,NA,NA
9/11/2017 1:00:34,Microsoft,64,Software Engineer,230000,Seattle, WA,14,9,NA,165000,0,30000,NA,NA,11527,819,97,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2017 22:45:16,Microsoft,63,Software Engineer,210000,Seattle, WA,5,5,NA,165000,175000,25000,NA,NA,11527,819,104,0,0,0,0,0,0,0,0,0,0,NA,NA
10/3/2017 11:15:27,Microsoft,64,Software Engineer,260000,Redmond, WA,14,4,NA,165000,29000,28000,NA,401k match, ESPP, health insurance,11521,819,106,0,0,0,0,0,0,0,0,0,0,NA,NA
10/15/2017 23:57:19,Microsoft,63,Software Engineer,310000,Sunnyvale, CA,8,5,NA,200000,35000,75000,NA,NA,7472,807,121,0,0,0,0,0,0,0,0,0,0,NA,NA
11/3/2017 19:32:48,Microsoft,61,Software Engineer,150000,Redmond, WA,4,2,NA,0,0,0,NA,NA,11521,819,138,0,0,0,0,0,0,0,0,0,0,NA,NA
11/18/2017 12:46:06,Microsoft,63,Software Engineer,240000,Redmond, WA,6,1,NA,150700,120000,40000,NA,40K signon for years,11521,819,152,0,0,0,0,0,0,0,0,0,0,NA,NA
12/18/2017 21:49:39,Microsoft,63,Product Manager,164000,Redmond, WA,10,3,NA,134000,15000,15000,NA,NA,11521,819,178,0,0,0,0,0,0,0,0,0,0,NA,NA
12/22/2017 17:27:50,Microsoft,64,Software Engineer,220000,Redmond, WA,10,10,NA,164000,28000,28000,NA,NA,11521,819,180,0,0,0,0,0,0,0,0,0,0,NA,NA
12/28/2017 1:43:49,Microsoft,64,Product Manager,120000,Bangalore, KA, India,10,6,NA,78000,40000,2000,NA,NA,4058,0,191,0,0,0,0,0,0,0,0,0,0,NA,NA
1/4/2018 18:16:53,Microsoft,61,Software Engineer,150000,Redmond, WA,3.5,3,NA,0,0,0,NA,NA,11521,819,207,0,0,0,0,0,0,0,0,0,0,NA,NA
1/5/2018 9:09:51,Microsoft,59,Software Engineer,154000,Redmond, WA,0,0,NA,108000,35000,11000,NA,NA,11521,819,210,0,0,0,0,0,0,0,0,0,0,NA,NA
1/17/2018 14:13:32,Microsoft,61,Software Engineer,149000,Redmond, WA,3,3,NA,129000,10000,10000,NA,NA,11521,819,228,0,0,0,0,0,0,0,0,0,0,NA,NA
2/1/2018 21:13:53,Microsoft,64,Product Manager,202000,Redmond, WA,8,2,NA,149000,25000,28000,NA,NA,11521,819,266,0,0,0,0,0,0,0,0,0,0,NA,NA
2/4/2018 12:05:11,Microsoft,65,Software Engineer,350000,New York, NY,12,2,NA,200000,75000,110000,NA,NA,10182,501,272,0,0,0,0,0,0,0,0,0,0,NA,NA
2/8/2018 15:39:55,Microsoft,59,Software Engineer,163000,Redmond, WA,0,0,NA,108000,30000,25000,NA,NA,11521,819,289,0,0,0,0,0,0,0,0,0,0,NA,NA
2/10/2018 17:04:45,Microsoft,62,Software Engineer,160000,Redmond, WA,6.5,2,NA,140000,10000,10000,NA,NA,11521,819,295,0,0,0,0,0,0,0,0,0,0,NA,NA
2/12/2018 20:14:59,Microsoft,64,Software Engineer,295000,Bellevue, WA,8,8,NA,175000,33000,63000,NA,NA,11470,819,301,0,0,0,0,0,0,0,0,0,0,NA,NA
3/5/2018 10:19:33,Microsoft,61,Software Engineer,151000,Boston, MA,5,3,NA,130000,9000,12000,NA,NA,8816,506,356,0,0,0,0,0,0,0,0,0,0,NA,NA
3/6/2018 17:33:55,Microsoft,62,Software Engineer,182000,Redmond, WA,5,5,NA,136000,8000,15000,NA,NA,11521,819,362,0,0,0,0,0,0,0,0,0,0,NA,NA
3/18/2018 10:32:12,Microsoft,59,Software Engineer,157000,Redmond, WA,0.5,0.5,NA,107000,38000,10000,NA,NA,11521,819,398,0,0,0,0,0,0,0,0,0,0,NA,NA
3/19/2018 9:54:20,Microsoft,61,Software Engineer,150000,Redmond, WA,3,3,NA,128000,6000,16000,NA,NA,11521,819,401,0,0,0,0,0,0,0,0,0,0,NA,NA
3/19/2018 11:00:37,Microsoft,SDE II (61),Software Engineer,150000,Redmond, WA,4,2,NA,120000,20000,10000,NA,NA,11521,819,402,0,0,0,0,0,0,0,0,0,0,NA,NA
3/25/2018 18:45:17,Microsoft,65,Software Engineer,300000,San Francisco, CA,10,2,NA,220000,40000,40000,NA,NA,7419,807,416,0,0,0,0,0,0,0,0,0,0,NA,NA
4/7/2018 2:11:30,Microsoft,63,Software Engineer,188000,Bellevue, WA,10,3,NA,148000,20000,18000,NA,NA,11470,819,456,0,0,0,0,0,0,0,0,0,0,NA,NA
4/10/2018 18:40:50,Microsoft,59,Product Manager,148000,Redmond, WA,0,0,NA,108000,120000,10000,NA,Stock Grant over 4 years, new grad,11521,819,467,0,0,0,0,0,0,0,0,0,0,NA,NA
4/13/2018 17:34:33,Microsoft,65,Software Engineer,266000,Redmond, WA,13,1,NA,190000,38000,38000,NA,NA,11521,819,484,0,0,0,0,0,0,0,0,0,0,NA,NA
