timestamp,company,level,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,tag,basesalary,stockgrantvalue,bonus,gender,otherdetails,cityid,dmaid,rowNumber,Masters_Degree,Bachelors_Degree,Doctorate_Degree,Highschool,Some_College,Race_Asian,Race_White,Race_Two_Or_More,Race_Black,Race_Hispanic,Race,Education
6/30/2017 16:29:50,Salesforce,9,Software Engineering Manager,450000,San Francisco, CA,16,3,NA,230000,100000,45000,NA,NA,7419,807,18,0,0,0,0,0,0,0,0,0,0,NA,NA
8/20/2017 1:20:52,Salesforce,Senior,Product Manager,210000,San Francisco, CA,8,1,NA,166000,20000,24000,NA,NA,7419,807,58,0,0,0,0,0,0,0,0,0,0,NA,NA
9/1/2017 12:09:30,Salesforce,Lead MTS,Software Engineer,320000,San Francisco, CA,4,1,NA,210000,80000,30000,NA,PhD,7419,807,75,0,0,1,0,0,0,0,0,0,0,NA,PhD
1/31/2018 6:05:50,Salesforce,LMTS,Software Engineer,240000,San Francisco, CA,8,2,NA,180000,30000,30000,NA,NA,7419,807,257,0,0,0,0,0,0,0,0,0,0,NA,NA
4/26/2018 12:56:06,Salesforce,MTS,Software Engineer,163000,San Francisco, CA,0,0,NA,135000,0,0,Female,NA,7419,807,544,0,0,0,0,0,0,0,0,0,0,NA,NA
6/1/2018 9:44:09,Salesforce,LMTS,Software Engineer,220000,San Francisco, CA,8,5,NA,170000,25000,25500,Male,NA,7419,807,773,0,0,0,0,0,0,0,0,0,0,NA,NA
6/6/2018 19:55:04,Salesforce,Senior PM,Product Manager,180000,Indianapolis, IN,10,1,NA,0,0,0,Female,NA,8399,527,836,0,0,0,0,0,0,0,0,0,0,NA,NA
6/8/2018 23:10:43,Salesforce,LMTS,Software Engineer,190000,San Francisco, CA,9,1,Full Stack,190000,52500,30000,Male,NA,7419,807,858,0,0,0,0,0,0,0,0,0,0,NA,NA
6/21/2018 23:46:33,Salesforce,L5,Software Engineer,260000,San Francisco, CA,7,2.5,Web Development (Front-End),0,0,0,NA,NA,7419,807,972,0,0,0,0,0,0,0,0,0,0,NA,NA
6/25/2018 13:27:36,Salesforce,LMTS,Software Engineer,325000,San Francisco, CA,8,0,Networking,216000,75000,32000,Male,NA,7419,807,984,0,0,0,0,0,0,0,0,0,0,NA,NA
7/9/2018 13:03:31,Salesforce,Principal MTS,Software Engineer,540000,San Francisco, CA,12,1,Full Stack,0,0,0,Female,NA,7419,807,1084,0,0,0,0,0,0,0,0,0,0,NA,NA
7/12/2018 23:04:06,Salesforce,MTS(member of technical staff),Software Engineer,182000,San Francisco, CA,2,2,Full Stack,145000,13000,10000,Male,NA,7419,807,1109,0,0,0,0,0,0,0,0,0,0,NA,NA
7/24/2018 22:00:24,Salesforce,MTS,Software Engineer,195000,San Francisco, CA,4,2,Big Data,140000,38000,14000,Male,extras: spot bonus, hourly payment,7419,807,1198,0,0,0,0,0,0,0,0,0,0,NA,NA
8/9/2018 6:50:43,Salesforce,MTS,Software Engineer,158000,New York, NY,8,2,Web Development (Front-End),125000,20000,12000,NA,NA,10182,501,1319,0,0,0,0,0,0,0,0,0,0,NA,NA
8/10/2018 9:53:22,Salesforce,Director,Product Manager,243000,San Francisco, CA,7,2,ML / AI,200000,0,0,NA,NA,7419,807,1350,0,0,0,0,0,0,0,0,0,0,NA,NA
8/16/2018 1:47:08,Salesforce,Amts,Software Engineer,162000,San Francisco, CA,2,2,API Development (Back-End),0,0,0,NA,NA,7419,807,1484,0,0,0,0,0,0,0,0,0,0,NA,NA
8/16/2018 9:59:36,Salesforce,Lead MTS,Software Engineer,250000,San Francisco, CA,10,5,Full Stack,180000,45000,27000,NA,NA,7419,807,1487,0,0,0,0,0,0,0,0,0,0,NA,NA
8/19/2018 23:29:31,Salesforce,Senior Product Manager,Product Manager,199000,San Francisco, CA,10,1,ML / AI,199000,25000,25000,NA,NA,7419,807,1572,0,0,0,0,0,0,0,0,0,0,NA,NA
8/21/2018 21:22:12,Salesforce,Senior MTS,Software Engineer,197000,San Francisco, CA,10,3,Performance Engineering,155000,19000,23000,NA,NA,7419,807,1593,0,0,0,0,0,0,0,0,0,0,NA,NA
8/22/2018 20:10:26,Salesforce,Senior MTS,Software Engineer,230000,San Francisco, CA,4,1,Web Development (Front-End),175000,30000,25000,NA,NA,7419,807,1615,0,0,0,0,0,0,0,0,0,0,NA,NA
8/23/2018 16:37:14,Salesforce,Architect,Software Engineer,600000,San Francisco, CA,8,5,Full Stack,280000,250000,70000,NA,NA,7419,807,1634,0,0,0,0,0,0,0,0,0,0,NA,NA
9/6/2018 21:07:44,Salesforce,Principal MTS,Software Engineer,480000,Bellevue, WA,13,1,API Development (Back-End),0,0,0,NA,NA,11470,819,1886,0,0,0,0,0,0,0,0,0,0,NA,NA
9/11/2018 11:51:01,Salesforce,Director,Product Manager,302000,San Francisco, CA,15,2,Product,217000,50000,45000,NA,NA,7419,807,2009,0,0,0,0,0,0,0,0,0,0,NA,NA
9/15/2018 21:23:17,Salesforce,Lead MTS,Software Engineer,270000,San Francisco, CA,9,3,Distributed Systems (Back-End),0,0,0,NA,NA,7419,807,2077,0,0,0,0,0,0,0,0,0,0,NA,NA
9/17/2018 23:11:44,Salesforce,MTS,Software Engineer,178000,San Francisco, CA,2,2,Full Stack,135000,30000,13000,NA,NA,7419,807,2124,0,0,0,0,0,0,0,0,0,0,NA,NA
9/27/2018 17:38:27,Salesforce,MTS,Software Engineer,200000,San Francisco, CA,4,1,Distributed Systems (Back-End),0,0,0,NA,NA,7419,807,2393,0,0,0,0,0,0,0,0,0,0,NA,NA
9/27/2018 18:45:00,Salesforce,Lead MTS,Software Engineer,190000,San Francisco, CA,13,1,Distributed Systems (Back-End),0,0,0,NA,NA,7419,807,2395,0,0,0,0,0,0,0,0,0,0,NA,NA
9/27/2018 22:11:13,Salesforce,Lead MTS,Software Engineer,245000,San Francisco, CA,3,1,ML / AI,190000,46000,19000,NA,NA,7419,807,2406,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 2:14:51,Salesforce,AMTS,Software Engineer,159000,San Francisco, CA,0,0,Full Stack,125000,21000,13000,NA,FG,7419,807,2415,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 14:53:06,Salesforce,Lead SWE,Software Engineer,285000,San Francisco, CA,6,1,Distributed Systems (Back-End),205000,45000,32000,NA,NA,7419,807,2439,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 16:04:56,Salesforce,Principal MTS,Software Engineer,284000,San Francisco, CA,12,12,Full Stack,206000,37000,41000,NA,NA,7419,807,2448,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 20:25:06,Salesforce,Senior MTS,Software Engineer,220000,San Francisco, CA,4,4,Full Stack,170000,25000,25000,NA,NA,7419,807,2465,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 20:30:39,Salesforce,Principal SWE,Data Scientist,315000,San Francisco, CA,15,3,ML / AI,225000,50000,40000,NA,NA,7419,807,2466,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 22:05:42,Salesforce,Senior Product Manager,Product Manager,210000,San Francisco, CA,3,1,Product,0,0,0,NA,NA,7419,807,2473,0,0,0,0,0,0,0,0,0,0,NA,NA
9/28/2018 23:37:01,Salesforce,Principal MTS,Software Engineer,365000,San Francisco, CA,8,1,Full Stack,200000,125000,40000,NA,NA,7419,807,2476,0,0,0,0,0,0,0,0,0,0,NA,NA
