company,year,salary
Amazon,0,157692
Amazon,1,162072
Amazon,2,186137
Amazon,3,201569
Amazon,4,214804
Amazon,5,222636
Amazon,6,243112
Amazon,7,246158
Amazon,8,261065
Amazon,9,261820
Apple,0,180005
Apple,1,186406
Apple,2,211409
Apple,3,250261
Apple,4,261207
Apple,5,266711
Apple,6,285623
Apple,7,291189
Apple,8,322759
Apple,9,314026
Facebook,0,193584
Facebook,1,202324
Facebook,2,248441
Facebook,3,282971
Facebook,4,309879
Facebook,5,342937
Facebook,6,394303
Facebook,7,375513
Facebook,8,403378
Facebook,9,450730
Google,0,180628
Google,1,188424
Google,2,219436
Google,3,243292
Google,4,263927
Google,5,283231
Google,6,296355
Google,7,338177
Google,8,348619
Google,9,342931
Cisco,0,124310
Cisco,1,140737
Cisco,2,142878
Cisco,3,156438
Cisco,4,167508
Cisco,5,187738
Cisco,6,184538
Cisco,7,191417
Cisco,8,207914
Cisco,9,192350
IBM,0,105489
IBM,1,112089
IBM,2,115222
IBM,3,117045
IBM,4,132576
IBM,5,124538
IBM,6,143656
IBM,7,132455
IBM,8,152647
IBM,9,224000
Intel,0,125714
Intel,1,129600
Intel,2,130000
Intel,3,135414
Intel,4,141926
Intel,5,151909
Intel,6,161000
Intel,7,158250
Intel,8,175971
Intel,9,186917
Microsoft,0,165884
Microsoft,1,161055
Microsoft,2,171501
Microsoft,3,176383
Microsoft,4,184892
Microsoft,5,189243
Microsoft,6,207615
Microsoft,7,206245
Microsoft,8,222654
Microsoft,9,225884
Oracle,0,180448
Oracle,1,178093
Oracle,2,183317
Oracle,3,191000
Oracle,4,202113
Oracle,5,218195
Oracle,6,251338
Oracle,7,245500
Oracle,8,298750
Oracle,9,276154
Salesforce,0,177379
Salesforce,1,183226
Salesforce,2,193130
Salesforce,3,201429
Salesforce,4,239481
Salesforce,5,250757
Salesforce,6,254359
Salesforce,7,236925
Salesforce,8,266565
Salesforce,9,305423
