country,min,max,average
Germany,15966,175228,81986
United States of America,5695,600000,145059
Russia,85000,230000,157500
France,36952,152000,62553
Austria,61985,91237,75784
Canada,54376,225000,108634
Ukraine,13400,13400,13400
Nigeria,10000,50000,30000
India,5423,94917,27617
Spain,38144,79833,53852
Poland,28801,154963,76964
United Kingdom,50000,117583,85334
Portugal,50180,61270,55725
Denmark,28850,89402,54716
Singapore,89514,89514,89514
Mexico,2876,33511,18194
Turkey,13105,30337,21762
Netherlands,42000,70329,52701
United Arab Emirates,115000,115000,115000
Japan,41689,260000,135922
China,43331,100000,71666
Hungary,35735,35735,35735
Kenya,9272,9272,9272
Colombie,21844,21844,21844
New Zealand,125000,125000,125000
Iran,4000,4000,4000
Chile,40798,40798,40798
Pakistan,8000,12000,10000
Belgium,89402,89402,89402
Greece,40529,47899,44214
Slovenia,25032,25032,25032
Brazil,13000,19052,16026
Switzerland,5898,5898,5898
Italy,21669,21669,21669
Moldova,18000,18000,18000
Luxembourg,59601,62726,61164
Vietnam,4000,4000,4000
South Africa,18102,18102,18102
Croatia,45618,45618,45618
Israël,119353,119353,119353
Malta,28608,28608,28608
